Diameter,Material,Sample,Pressure,Dt1,Dt2,Dt3,Full dt,Gyro speed,Amplitude,Omega,Zeta
16,82,1,100,0.01489,0.01783,0.01495,0.04767,1244,-0.726686928,52.63910888,0.080704026
16,82,1,100,0.01489,0.01782,0.01489,0.0476,1591,-0.772739033,52.20809329,0.082302679
16,82,1,100,0.01782,0.01782,0.01196,0.0476,811,-0.771198857,52.22802504,0.082636567
16,82,1,125,0.01196,0.01783,0.01184,0.04163,1601,-0.808690111,53.09934635,0.080436222
16,82,1,125,0.01477,0.01783,0.01196,0.04456,1744,-0.764885467,52.99250905,0.079516097
16,82,1,125,0.01489,0.0149,0.01196,0.04175,1211,-0.767518792,53.0599191,0.079917101
16,82,1,150,0.0149,0.01489,0.01196,0.04175,1061,-0.826139952,53.42405638,0.079784552
16,82,1,150,0.0149,0.01477,0.01489,0.04456,1302,-0.786528729,53.40912944,0.078768363
16,82,1,150,0.01489,0.01478,0.01489,0.04456,1271,-0.795947025,53.19636458,0.079127062
20,60,2,-50,0.02975,0.03274,0.03274,0.09523,3043,-1.291489427,14.04535039,0.050576436
20,60,2,-50,0.02677,0.03275,0.02977,0.08929,1834,-1.30492429,13.97463246,0.049944244
20,60,2,-50,0.02976,0.03274,0.03273,0.09523,1460,-1.292609045,13.98910985,0.0492596
20,60,2,0,0.0238,0.0238,0.02082,0.06842,1255,-1.022967432,24.78855472,0.101437404
20,60,2,0,0.0238,0.0268,0.02081,0.07141,1180,-1.020475974,24.75745917,0.101879845
20,60,2,0,0.02084,0.02677,0.02084,0.06845,1971,-1.007751617,24.67909996,0.101037218
20,60,2,50,0.01489,0.01789,0.01782,0.0506,1200,-0.978917712,35.78322231,0.089363277
20,60,2,50,0.01489,0.01789,0.01483,0.04761,1178,-1.015419504,36.21128915,0.088790311
20,60,2,50,0.0149,0.01782,0.01489,0.04761,1678,-0.987823694,36.29710631,0.087329033
20,60,2,75,0.01483,0.01788,0.0119,0.04461,1681,-0.948543973,38.9448736,0.07587819
20,60,2,75,0.01489,0.01489,0.0119,0.04168,1450,-0.955052931,39.17791567,0.073848544
20,60,2,75,0.0149,0.01788,0.0119,0.04468,1502,-0.941609629,39.22600034,0.073053579
20,60,2,100,0.01197,0.01477,0.01501,0.04175,1236,-1.035284403,39.69283807,0.074903483
20,60,2,100,0.01489,0.01489,0.01184,0.04162,1103,-1.020918733,39.81511112,0.073282614
20,60,2,100,0.01794,0.01477,0.01196,0.04467,1623,-0.93370346,40.50990224,0.066405477
