Diameter,Material,Sample,Pressure,Load Work,Peak Load Force,Hysteresis,Unload Work,Buckle Angle,Buckle Force,Buckle Slope,Unbuckle Slope,Buckle Intercept,Buckled R2,Unbuckle R2
16,60,1,-50,0.030218533577222786,0.05390594076000001,14.809036408007698,0.026051973627745605,22.887999999999995,0.02415621012,0.0007611672337266374,0.001102468783143881,0.007708462428704356,0.997624663245756,0.999999717397827
16,60,1,-50,0.02864235153388552,0.05321945076,9.657304415896082,0.026003684507993258,13.588000000000001,0.01665150144,0.0008089191774370767,0.0012720275304487453,0.006239576555530153,0.9973811025421749,0.9999998777162208
16,60,1,-50,0.02931844982371988,0.0538482756,14.764152605098285,0.02528740402681493,22.044000000000004,0.022904052360000003,0.0007786083425299901,0.0010798720681824497,0.006545185633159915,0.9977714875126535,0.9999998834764358
16,60,1,0,0.0777350501265836,0.07744430987999999,29.957797170796212,0.05748115229485039,8.929999999999996,0.03707869788,0.0005908455970797438,0.004869131534206334,0.03627841623781733,0.9748974267469496,0.9999989898641175
16,60,1,0,0.07791920539859251,0.08151656856,31.628409763952554,0.05663977288563138,9.238000000000003,0.03559038756,0.00061165932132959,0.004417438265826529,0.03419309000975046,0.9761921078180452,0.9999985212488516
16,60,1,0,0.07585081799110913,0.08098659828,33.34083333436444,0.0541749763068295,11.113999999999999,0.034873692,0.0006164452891114579,0.0035905718816836886,0.03224124351493422,0.9762960421688589,0.9999941934902911
16,60,1,50,0.11337183658695645,0.12807706632,16.829883252991753,0.09577246563946128,21.310000000000002,0.09836852508,0.00015625041459175186,0.0049207942714563436,0.10063384799997141,0.6818740260533094,0.9999978277976891
16,60,1,50,0.11082086987247211,0.12334852319999999,13.115088699063069,0.09718105162255776,22.2,0.10051037387999999,0.0001621219132052097,0.004843689314420229,0.1020356465286314,0.707269241786869,0.9999947992923064
16,60,1,50,0.11764870263893534,0.12678646512,19.931414714302548,0.09632473592920102,21.322000000000003,0.09659463491999999,0.0002146764244691268,0.004870838083921648,0.09794283059589329,0.737137086626044,0.9999978129599507
16,60,1,75,0.13309218778438844,0.15315317303999998,17.348364081260996,0.11184581917411561,28.597999999999995,0.13215756288,3.5916791981332396e-05,0.004840524043109825,0.1364052357542397,0.21382903037999304,0.9999956187856784
16,60,1,75,0.13636990841449784,0.15384240899999999,18.4774745507144,0.11330326030906826,27.140000000000004,0.12507298608,0.0001463817793520781,0.00497595367010429,0.12989426532566825,0.49669303104957135,0.9999985084909615
16,60,1,75,0.13413969603881512,0.15240352596,16.34593343305064,0.11386995019809987,29.92,0.13050449496,8.074502050896071e-05,0.004678379868727717,0.1338627873539209,0.38191809352486167,0.9999957012505903
16,60,1,100,0.1515371377910123,0.1804507614,19.754666527542113,0.12429252295845801,34.05199999999999,0.15087677219999998,0.00017452620423023772,0.004662494948477357,0.15126742303537302,0.5437085602491487,0.9999966898314891
16,60,1,100,0.14951277894714396,0.17872355256,16.979684550920616,0.12611261751628655,32.751999999999995,0.15181314456000003,0.00021710789663541212,0.004872550872144064,0.15107150284588014,0.5958388096677485,0.9999986531802108
16,60,1,100,0.15083431631053404,0.17896519704000002,20.279049278168124,0.12306248287178065,34.312000000000005,0.15147539148,0.00023956607774031086,0.004608769996825391,0.14940055250032283,0.6395792208001111,0.9999987233616282
16,60,1,125,0.16095697229155262,0.20628749904,19.510582436866382,0.13234455423115266,37.684,0.17241333647999996,0.0005373874128005866,0.004800079923072245,0.1598185354001515,0.7394357595151909,0.9999984442668157
16,60,1,125,0.15653308775040245,0.20414565024,14.854314693279258,0.1348887307480815,38.083999999999996,0.17343483360000003,0.0005962732419142166,0.004765518288762332,0.1580340309094008,0.7903308021103671,0.9999951642732954
16,60,1,125,0.15896331551413106,0.20511222816000002,16.984672355763667,0.13407731963911707,37.586,0.17547508188000002,0.0005961807622583617,0.004845016413051478,0.15919767044390565,0.8087431987873499,0.9999996418522046
16,60,1,150,0.16654254331203294,0.22962266711999996,19.183468477061925,0.1373901291093126,42.18,0.19309865316,0.0009665230721042284,0.004743163458264356,0.15880752669355935,0.8792200905786169,0.9999994013353841
16,60,1,150,0.16462197729813569,0.22745885064000004,19.816246108873546,0.13494091709612033,41.215999999999994,0.19207715604,0.0010916950930593145,0.004849954253037772,0.15383268392925534,0.8994996998733641,0.9999981502012677
16,60,1,150,0.16656213980721596,0.234436335,20.860147855395443,0.13509869203514935,43.43,0.20036446332,0.001165659363845647,0.004739806746678959,0.1544163323376782,0.9308387222882473,0.9999983032176131
16,70,1,-50,0.04928299485121023,0.06277813752,27.712095176102963,0.03728771596342056,11.106,0.02314569684,0.000697043376624425,0.002375170122986015,0.018321957031949093,0.9955397780032494,0.9999932639922995
16,70,1,-50,0.04453206439723804,0.06312412848,17.65106331821247,0.037309142750242434,14.667999999999996,0.02668249332,0.0006717363470033556,0.0019557454651095737,0.018596147221220685,0.9967031822159166,0.9999982473545518
16,70,1,-50,0.041776283254697934,0.06092186855999999,16.034513027669416,0.035574844894621954,15.657999999999998,0.026226663959999997,0.0007054495869366512,0.00175848969740383,0.016270198315984755,0.9974646238261153,0.9999997312668913
16,70,1,0,0.06265595859109001,0.08483643419999999,5.011214720866695,0.05959288262747321,7.640000000000001,0.0455554764,0.00030104089594320865,0.006287050341654681,0.0444309262115969,0.9394783803201844,0.9999995354230004
16,70,1,0,0.059142099466420045,0.07326495876,7.02675615731471,0.05512738060306309,7.322000000000003,0.04053311555999999,0.00034811106753243143,0.006125703012752828,0.039969554327042675,0.9514928357381053,0.9999996250581705
